ID,Period,StudentAcademicLevel,StudentCategory,StudentLocation,FullTimePartTimeIndicator,AlumniChild,Ethnicity,Gender,ChurchAffiliation,CitizenshipCountry,InternationalIndicator,Continent,CountryResidency,DualCitizenship,ABDIndicator,USCitizensBreakdown
702,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
703,2024 Fall,Undergraduate,Life and Career Studies,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
704,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
705,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Multi-Racial,Male,Presbyterian,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
706,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,China,Intl Citz,Asia,China,Non Dual Citizen,Not ABD,Non-US Citizen
707,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,Ghana,Intl Citz,Africa,Ghana,Non Dual Citizen,Not ABD,Non-US Citizen
708,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Presbyterian,South Korea,Intl Citz,Asia,South Korea,Non Dual Citizen,Not ABD,Non-US Citizen
709,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Hispanic/Latino,Male,None/Not Stated,United States of America,Not Intl,Unknown,Unknown,Non Dual Citizen,ABD,US Citizens Living Abroad
710,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
711,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
712,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,China,Intl Citz,Asia,China,Non Dual Citizen,Not ABD,Non-US Citizen
713,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
714,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,China,Intl Citz,Asia,China,Non Dual Citizen,Not ABD,Non-US Citizen
715,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Multi-Racial,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
716,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Church,South Korea,Intl Citz,Asia,South Korea,Non Dual Citizen,Not ABD,Non-US Citizen
717,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,South Korea,Intl Citz,Asia,South Korea,Non Dual Citizen,Not ABD,Non-US Citizen
718,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Reformed,China,Intl Citz,Asia,China,Non Dual Citizen,Not ABD,Non-US Citizen
719,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Presbyterian,South Korea,Intl Citz,Asia,South Korea,Non Dual Citizen,Not ABD,Non-US Citizen
720,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
721,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
722,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
723,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
724,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Reformed,China,Intl Citz,Asia,China,Non Dual Citizen,Not ABD,Non-US Citizen
725,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
726,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,China,Intl Citz,Asia,China,Non Dual Citizen,Not ABD,Non-US Citizen
727,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,South Korea,Intl Citz,North America,Dominican Republic,Non Dual Citizen,Not ABD,Non-US Citizen
728,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Roman Catholic,Honduras,Intl Citz,North America,United States of America,Non Dual Citizen,DOMIN,Non-US Citizen
729,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
730,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Hispanic/Latino,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
731,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Christian Reformed,Peru,Intl Citz,South America,Peru,Non Dual Citizen,Not ABD,Non-US Citizen
732,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Church,Ethiopia,Intl Citz,Africa,Ethiopia,Non Dual Citizen,Not ABD,Non-US Citizen
733,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Reformed,China,Intl Citz,Asia,China,Non Dual Citizen,Not ABD,Non-US Citizen
734,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
735,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
736,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Black or African American,Male,Presbyterian,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
737,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Church,Indonesia,Intl Citz,Asia,Indonesia,Non Dual Citizen,Not ABD,Non-US Citizen
738,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Christian Reformed,Dominican Republic,Intl Citz,North America,Dominican Republic,Non Dual Citizen,Not ABD,Non-US Citizen
739,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
740,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,Ghana,Intl Citz,Unknown,Unknown,Non Dual Citizen,Not ABD,Non-US Citizen
741,2024 Fall,Undergraduate,Life and Career Studies,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
742,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
743,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,None/Not Stated,Canada,Intl Citz,North America,Canada,Non Dual Citizen,Not ABD,Non-US Citizen
744,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Hispanic/Latino,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
745,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
746,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Roman Catholic,Canada,Intl Citz,North America,Canada,Non Dual Citizen,Not ABD,Non-US Citizen
747,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Reformed,Indonesia,Intl Citz,Asia,Indonesia,Non Dual Citizen,Not ABD,Non-US Citizen
748,2024 Fall,Undergraduate,Life and Career Studies,Grand Rapids Campus,Part Time,Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
749,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Other Church,South Korea,Intl Citz,Asia,South Korea,Non Dual Citizen,Not ABD,Non-US Citizen
750,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,None/Not Stated,Canada,Intl Citz,North America,Canada,Non Dual Citizen,Not ABD,Non-US Citizen
751,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
752,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
753,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
754,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
755,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,Not Stated,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
756,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
757,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
758,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
759,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
760,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Part Time,Not Child of Alumni,Black or African American,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
761,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,White,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
762,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,Hispanic/Latino,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
763,2024 Fall,Undergraduate,Transfer at Entry,Handlon Campus,Part Time,Not Child of Alumni,Not Stated,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
764,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
765,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,Hispanic/Latino,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
766,2024 Fall,Undergraduate,FTIAC at Entry,Handlon Campus,Part Time,Not Child of Alumni,Black or African American,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
767,2024 Fall,Undergraduate,Life and Career Studies,Grand Rapids Campus,Full Time,Not Child of Alumni,Hispanic/Latino,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
768,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
769,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
770,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Full Time,Child of Alumni,White,Male,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
771,2024 Fall,Undergraduate,Transfer at Entry,Grand Rapids Campus,Part Time,Not Child of Alumni,U.S. Nonresident,Male,Other Reformed,Honduras,Intl Citz,North America,United States of America,Non Dual Citizen,DOMIN,Non-US Citizen
772,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Male,Roman Catholic,Nigeria,Intl Citz,Africa,Nigeria,Non Dual Citizen,Not ABD,Non-US Citizen
773,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,U.S. Nonresident,Female,Other Church,Pakistan,Intl Citz,Unknown,Unknown,Non Dual Citizen,Not ABD,Non-US Citizen
774,2024 Fall,Graduate,Graduate,Online Campus,Part Time,Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
775,2024 Fall,Graduate,Graduate,Online Campus,Part Time,Not Child of Alumni,White,Female,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
776,2024 Fall,Graduate,Graduate,Online Campus,Part Time,Child of Alumni,White,Female,Christian Reformed,United States of America,Not Intl,North America,Canada,Dual Citizen,Not ABD,US Citizens Living Domestically
777,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
778,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
779,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
780,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
781,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
782,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,ABD,US Citizens Living Abroad
783,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
784,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
785,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Presbyterian,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
786,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Hispanic/Latino,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
787,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
788,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
789,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
790,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
791,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
792,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
793,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
794,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Presbyterian,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
795,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
796,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
797,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Hispanic/Latino,Male,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
798,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
799,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
800,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
801,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
802,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
803,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
804,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
805,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Asian,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
806,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
807,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
808,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
809,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
810,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
811,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
812,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,None/Not Stated,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
813,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
814,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,Multi-Racial,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
815,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
816,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
817,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
818,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
819,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
820,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
821,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
822,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Christian Reformed,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
823,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
824,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Male,Roman Catholic,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
825,2024 Fall,Undergraduate,FTIAC at Entry,Grand Rapids Campus,Full Time,Not Child of Alumni,White,Female,Other Church,United States of America,Not Intl,North America,United States of America,Non Dual Citizen,Not ABD,US Citizens Living Domestically
